"plugin_windhager_pricestab_tab","Prices"
"plugin_windhager_open_asset_by_celumid","Open Asset by Celum-ID"
"plugin_windhager_please_enter_the_celumid","Please enter the Celum-ID"
"copy-images","Bilder zu 'Eigene Webshops' kopieren"
"plugin_windhager_pricing_config_condition_rebateInKind","Rebate in kind"
plugin_windhager_pricing_config_condition_rebateInKind_amount,"Minimum quantity"
"plugin_windhager_pricing_config_condition_internalTenant","Mandant"
"plugin_windhager_pricing_config_condition_rebateInKind_product","Product"
"label_role","Role"
"extendedPanel","Extended Panel"
"plugin_windhager_pricing_config_action_badge","Badge"
"plugin_windhager_pricing_action_badge","Badge"
"label_role","Role"
"extendedPanel","Extended Panel"
"plugin_windhager_search_article","Suche Artikel"
"copy-data","Copy data"
"plugin_windhager_source_item","Source item"
"plugin_windhager_copy_languages","Language"
"plugin_windhager_prouct_copy_title","Copy product data"
"plugin_windhager_actions","Action"
"plugin_windhager_action_basic-data","Copy basic data"
"plugin_windhager_action_advanced-data","Copy advanced data"
"plugin_windhager_error_source_item","Please define a source item"
"plugin_windhager_error_action","Please select an action"
"plugin_windhager_data_merged","The data has been successfully merged"
"plugin_windhager_override_data","Replace existing data"
"plugin_windhager_action_copy-images","Copy images to own webshops"
"plugin_windhager_copyEmptyValues_data","Copy empty values"
"plugin_windhager_article_states","Completeness check"
"open_parent","Open Parent"
"plugin_windhager_webfrontend","Webfrontend"

"plugin.windhager.product-order","Productorder"

"plugin_windhager_export_products_export","Export"
"plugin_windhager_export_products_config","Predifined Configurations"
"plugin_windhager_export_products","Product Export"
"plugin_pm_exportProducts","Product Export"
"plugin_pm_button_add_exportProducts","Product Export"
"plugin_pm_itemsExport","Items to export"
"plugin_windhager_material_select_window_title","Article number insertion"
"plugin_windhager_material_material_numbers","Article numbers"
"plugin_windhager_material_add_materials","Add products"
"plugin_windhager_material_description","Add a list of product numbers which should be added to the selection."
"plugin_pm_charge","Charge"
"plugin_pm_products","Select products"
"plugin_pm_language","Language"
"plugin_pm_languages","Languages"
"plugin_pm_select-product-text","Select text properties"
"plugin_pm_select-product-images","Select image properties"
"plugin_pm_image-name-schema","Image filename schema"
"plugin_pm_image-name-schema-tooltip","Beispielformatierung: &quot;%000%_img_%TITLE%_%EAN%_%ARTNR%&quot;<br/><b>Mögliche Platzhalter</b><ul><li>&quot;%000%&quot; - Eine fortlaufende Nummer wird eingefügt</li><li>&quot;%EAN%&quot; - Die EAN wird eingefügt</li><li>&quot;%ARTNR%&quot; - Die Artikelnummer wird eingefügt</li><li>&quot;%CELUMID%&quot; - Die Celum ID wird eingefügt</li><li>&quot;%TITLE%&quot; - Der Dateinamen wird eingefügt</li></ul>"
"plugin_pm_email","E-Mail Adresse"
"plugin_pm_emailReceiver","Empfänger"
"plugin_pm_inc-images","Include images"
"plugin_pm_inc-dependencies","Include dependencies"
"plugin_pm_inc-dependencies-tooltip","Include spareparts & raw products"
"plugin_pm_order-number","Order number"
"plugin_pm_type","Type"
"plugin_pm_type-offer","Offer"
"plugin_pm_type-data-pass","Data Export"

"plugin.windhager.print_datasheet","Datasheet"
"plugin.windhager.print_ldl", "LDL"
"plugin.windhager.print_ldl_vke","VKE"
"plugin.windhager.print_ldl_vpe","VPE"
"plugin.windhager.print_articlepassport","Article Passport"


"plugin_pm_format","Format"
"plugin_pm_name-schema","Ouput nameschema"
"operator_dimension","Dimension"
"target_unit","Target unit"
"show_unit","Show unit"
"unit_use_default","Defined unit"
"concatenator","Concatenator"
"dimension_general_settings_item_length","Length"
"dimension_general_settings_item_width","Width"
"dimension_general_settings_item_height","Height"
"show_item","Show"
"dimension_general_settings","Settings"
"web2print_outputchanneltable_last_loaded_favorite","Currently used"
"dimension_operator_settings","Dimension settings"

"plugin_pm_region","Region"
"plugin_pm_year","Year"
"plugin_pm_mandant","Mandant"
"plugin_pm_pricelist","Pricelist"
"plugin_pm_includeFields","Insert fields"
"plugin_pm_name-schema","Schema"
"plugin_pm_region_AT","AT"
"plugin_pm_region_DE","DE"
"plugin_pm_region_CH","CH"
"plugin_pm_region_FR","FR"
"plugin_pm_region_CEE","CEE"
"EK","EK"
"UVP","UVP"
"KUArtNr","KUArtNr"
"plugin.xliffmanager.no-target-languages","No target language defined"
"windhager_voucher_amount","Gutscheinbetrag"
